Name,Value.videoId,Value.author,text
1,YSAFr7by81U,SleepySabi,Rewatching in 2023 ????
2,YSAFr7by81U,Laki2Mempuni,i miss it
3,YSAFr7by81U,M Balazs,"<a href=""https://www.youtube.com/watch?v=YSAFr7by81U&amp;t=21m00s"">21:00</a> the new level of quality gaming"
4,YSAFr7by81U,Leia,"What happened to part 4?  and there is another 1 episode missing, dont remember the number.  missing episodes messes up the whole experience"
5,YSAFr7by81U,Maria K,2022 Still love watching your playthroughs bro
6,YSAFr7by81U,Krisinatorr,The good old days ??
7,YSAFr7by81U,marlyy k,2022????
8,YSAFr7by81U,Amy Waters,Wow this gives me stranger thing vibes
9,YSAFr7by81U,Haley Bennett,This is literally stranger things
10,YSAFr7by81U,Maximus Brights,"<a href=""https://www.youtube.com/watch?v=YSAFr7by81U&amp;t=12m05s"">12:05</a> ???? edgar being helpful??"
11,YSAFr7by81U,crystal the temperancexp ?,"<a href=""https://www.youtube.com/watch?v=YSAFr7by81U&amp;t=5m08s"">5:08</a> I forgot about that song ??"
12,YSAFr7by81U,BENJAMIN V.,2022?
13,YSAFr7by81U,IGRETRO VODs,"I agree, it?s really stupid she didn?t took the camera guy out"
14,YSAFr7by81U,IGRETRO VODs,I would take money from atm any day
15,YSAFr7by81U,IGRETRO VODs,"<a href=""https://www.youtube.com/watch?v=YSAFr7by81U&amp;t=10m15s"">10:15</a> wait, so you see them as a couple? That?s not how I see it, she is more like a child, not a woman in my eyes, at least."
16,YSAFr7by81U,neo bodan naega deo keo,Camera guy is always safe :)
17,YSAFr7by81U,Lexi Sauve,Hi
18,YSAFr7by81U,justin purvis,WHY IS THE LAST VID PRIVATE
19,YSAFr7by81U,Jack Miles,"She should go to Haddonfield, if she goes to the right house she&#39;ll get a sandwich with the option of mayonnaise and mustard"
20,YSAFr7by81U,Jack Miles,"Idk what it is but when it comes to these types of games, like this, Heavy Rain and Until Dawn, Pewds seems to be able to make little predictions about the story that turn out right quite a lot"
21,W4ZjbmTCP9E,Gasp,Been a while
22,W4ZjbmTCP9E,Akialia2u,This still makes me cry laugh
23,W4ZjbmTCP9E,Nejc Ferli?,hi
24,W4ZjbmTCP9E,Erin Pastorius,6 years later and this is still hilarious to watch??
25,W4ZjbmTCP9E,Hypnotic Skull,"<a href=""https://www.youtube.com/watch?v=W4ZjbmTCP9E&amp;t=0m00s"">0:00</a> when you don?t know how to talk to girls"
26,W4ZjbmTCP9E,Simon Nielsen,5
27,W4ZjbmTCP9E,Willy B,"<a href=""https://www.youtube.com/watch?v=W4ZjbmTCP9E&amp;t=11m08s"">11:08</a>"
28,W4ZjbmTCP9E,Willy B,"<a href=""https://www.youtube.com/watch?v=W4ZjbmTCP9E&amp;t=11m09s"">11:09</a>"
29,W4ZjbmTCP9E,Asgard Ninja,I miss old Pewdiepie
30,W4ZjbmTCP9E,Asgard Ninja,This game is so strange
31,W4ZjbmTCP9E,Iforgottoburrythebody,Before meme review
32,W4ZjbmTCP9E,Gaming_Grim_Reaper,He does not use a controller
33,W4ZjbmTCP9E,Hero-Simp,Dont tell me what to do! ??
34,W4ZjbmTCP9E,rhonn's vlogs and video,What the hell are you seing
35,W4ZjbmTCP9E,Dr. Bender,anyone in 2019
36,W4ZjbmTCP9E,Guppy,I?m watching this in 2019 and oh my I miss this
37,W4ZjbmTCP9E,Kaitlyn Winslow,"<a href=""https://www.youtube.com/watch?v=W4ZjbmTCP9E&amp;t=11m37s"">11:37</a> that made me laugh lol"
38,W4ZjbmTCP9E,DROP_DEAD_1989,"Laughed so hard at <a href=""https://www.youtube.com/watch?v=W4ZjbmTCP9E&amp;t=11m36s"">11:36</a> it was so slick he could hardly believe it ????????"
39,W4ZjbmTCP9E,Madison Perriton,Who is watching in 2018??
40,W4ZjbmTCP9E,Cheryl Purnell,"<a href=""https://www.youtube.com/watch?v=W4ZjbmTCP9E&amp;t=3m42s"">3:42</a><br><b>DON?T TELL ME WHAT TO DO!</b>"
41,W4ZjbmTCP9E,Gasp,Been a while
42,W4ZjbmTCP9E,Akialia2u,This still makes me cry laugh
43,W4ZjbmTCP9E,Nejc Ferli?,hi
