Name,Value.videoId,Value.author,text
1,IVQg3o2qTLU,crimson knight,"Apparently her mum was the instigator of the argument talkin &#39;bout he don&#39;t make enough money, he cheating on her, how come he never give her money yalla yalla yaw..<br>The ?? had it coming."
2,IVQg3o2qTLU,crimson knight,"I think we argue mostly because of selfishness; wanting to have our way, dominate others or merely stroke our egos.<br><br>This argument this couple had surely wasn&#39;t worth it."
3,IVQg3o2qTLU,Shane Matthews,"There&#39;s a reason they tell you to stay in your car on these things. This woman&#39;s stupidity cost her mother&#39;s life. Have a nice rest of your life with that for a sleeping pill, moron."
4,IVQg3o2qTLU,Xarmy Vet,Idiots
5,IVQg3o2qTLU,Enrique,"Well, that?s one way to get rid of the mother"
6,IVQg3o2qTLU,Madosatoshist,This makes me so happy
7,IVQg3o2qTLU,Big Blue Monkey,Me grabbing a random frog I found in a bush:
8,IVQg3o2qTLU,Hafiz Abdullah,Women. Stupid then tiger when angry.
9,IVQg3o2qTLU,MEL VIDAL,"So, the wife killed her mother."
10,IVQg3o2qTLU,TheNab2323,If he was having an argument why did he want to save her? I?d rather make my point
11,IVQg3o2qTLU,sandpiper,Guy takes crazy wife and mother in law to visit the tigers. ??
12,IVQg3o2qTLU,Gary Jaguar,Very clever people the Asians
13,IVQg3o2qTLU,Charles Pancamo,1000 IQ play to get rid of the mother in law
14,IVQg3o2qTLU,Bob Latkey,Notice how the husband was smart enough to pause and grab the mother first so he could sacrifice her yet still play hero.
15,IVQg3o2qTLU,Thomas Wao,Yoo
16,IVQg3o2qTLU,john wayne,"Wow her mom died saving her , her mom a G. The daughter is one of the dumbest ppl on earth."
17,IVQg3o2qTLU,Luis R,Women can truly do the dumbest things. <br><br>I?m sure she won?t walk away from another argument again.
18,IVQg3o2qTLU,Jay Hove,Ahh I think that&#39;s why it&#39;s posted never too get out of the car .
19,IVQg3o2qTLU,Alex Esquivel,Women really are liabilities &amp; drama queens. She really couldn?t wait till they got home safely to argue with her husband?? ???????
20,IVQg3o2qTLU,Erick Montero G,What is really disturbing is the idiotic behavior of the woman who left the car and provoke hers mother death
21,7ebamFopT_0,Ranger1,Thank you for choosing Carnival cruises ??
22,7ebamFopT_0,Andrew Hulton,Are the buffets still open
23,7ebamFopT_0,Andrew Hulton,Attention the ship is going up.  Now down now up now down ??
24,7ebamFopT_0,Vq_lou,I was literally just looking at cruise prices. I?m cool now
25,7ebamFopT_0,vkhiev,Why did captain choose to go thru dangerous storm
26,7ebamFopT_0,Mike JC,Other videos show damage to only crew areas.  How was it horrible enough for passengers to be on deck recording videos??
27,7ebamFopT_0,KCY Jay,People would have complained if Carnival cancelled the the trip as well.
28,7ebamFopT_0,yumpladukfoo,Good....cruise ships are BIG FAT Americans anyway. LOL!!!  Shark food.
29,7ebamFopT_0,Tamerrae B,"How many people did they think were SLEEPING through that night?  Next time, make announcements throughout  the night."
30,7ebamFopT_0,SJP,Those ships are made for a lot bigger storms in the open ocean. Don?t let any of these passengers go transatlantic
31,7ebamFopT_0,Sheree Rockdaschel,All the more reason not to go on a cruise ship or any ship at all in the vastness of the sea. I am definitely a land lover. I love the sea to look at but it is for the creatures of the sea.
32,7ebamFopT_0,Jay Pence,I think the captain was too busy to go on the deck shake their hands.
33,7ebamFopT_0,Rob Pate,Gee?.harden up people.
34,7ebamFopT_0,Daniel Gruben,What do you expect when you book a Trip of The &quot;Spirit Airlines&quot; of the sea?????
35,7ebamFopT_0,Matthew Hahn,Oh dear
36,7ebamFopT_0,Morgan James,Abandon ship LMAO yes girl because jumping off of a perfectly good ship during a storm is wayyyy safer than just staying on it until the storm is over ?? you?re on the ocean bro. I don?t know why this is so shocking to you anyone
37,7ebamFopT_0,TheStiggggg,"Was it smart to enter a known storm ... no. Crew did a good job of keeping the ship afloat. The communication breakdown is a big failure, keeping everyone up to date vs suddenly calling abandon ship has drastically different outcomes."
38,7ebamFopT_0,Rick Horejsi,"Cruise ships have always been a joke,   big deal ???????????????????????? no one to blame but themselves ??????????"
39,7ebamFopT_0,Jason Gray,"<a href=""https://youtu.be/JhBTNOCq_60"">https://youtu.be/JhBTNOCq_60</a>"
40,7ebamFopT_0,motaz1975,"so nobody talks about the rest of the cruise, just the bad part lol! storms at sea happen. that storm was no joke. it looked like a hurricane and was huge. there was no avoiding it."
41,7ebamFopT_0,Ranger1,Thank you for choosing Carnival cruises ??
42,7ebamFopT_0,Andrew Hulton,Are the buffets still open
43,7ebamFopT_0,Andrew Hulton,Attention the ship is going up.  Now down now up now down ??
44,7ebamFopT_0,Vq_lou,I was literally just looking at cruise prices. I?m cool now
45,7ebamFopT_0,vkhiev,Why did captain choose to go thru dangerous storm
46,7ebamFopT_0,Mike JC,Other videos show damage to only crew areas.  How was it horrible enough for passengers to be on deck recording videos??
47,7ebamFopT_0,KCY Jay,People would have complained if Carnival cancelled the the trip as well.
48,7ebamFopT_0,yumpladukfoo,Good....cruise ships are BIG FAT Americans anyway. LOL!!!  Shark food.
