Name,Value.videoId,Value.author,text
1,KKTLumXHmbI,Howie?s World,"This beat is so damn groovy, where can I find the How It?s Made soundtrack to listen to on its own"
2,KKTLumXHmbI,Jeffrey Richardson,embroidered emblem<br>sals fat albert known bedlam <br>fifty five sink ben
3,KKTLumXHmbI,Thomas Sch�fer,A replica from original german V�gele Maschine company!!!
4,KKTLumXHmbI,nes999,Nothing more american than <br>CAT! USA USA USA!
5,KKTLumXHmbI,Gatorb8,Paving blows lol
6,KKTLumXHmbI,Michael Jonathan,777 thousands views <br>7.8 thousands like<br>I think i will try lottery
7,KKTLumXHmbI,Michael Jonathan,So this is how cat is made
8,KKTLumXHmbI,Tanveer Ansari,Pavers operator ki salary kitni hai Saudi Arabia me
9,KKTLumXHmbI,shimonigma games,Now I know ??
10,KKTLumXHmbI,Derek Reiser,"I loved going in that factory for School. The tour guide said you can get a CAT in any color, as long as its black and yellow!"
11,KKTLumXHmbI,Gummel,I&#39;m pretty sure the plasma cutter can&#39;t thread holes...
12,KKTLumXHmbI,jo?o,fucking boring this one
13,KKTLumXHmbI,donovan evans,I work at a asphalt paving company and man when i tell u this machine is complicated to use ph my goodness man. But the milling machine is whats even worse
14,KKTLumXHmbI,jack bale,wait....this isnt huggbees
15,KKTLumXHmbI,micah,I always click these videos but I have to dip when I realise it isn&#39;t Huggbees video :(
16,KKTLumXHmbI,Benedict Lee,"Let&#39;s be honest, no one search for this."
17,KKTLumXHmbI,Chupria,It&#39;s in HD!
18,KKTLumXHmbI,Rasputin,"That?s called a ?brake?, not a bend."
19,KKTLumXHmbI,Me Here,� Power-Phull F�l�p�n� Aadm� untt J�wish AuR�t S�H�B ?? ?? ?? ?? ?? ?? ?? ?? ?? ?? ?? ??
20,KKTLumXHmbI,Hend Al Harbi,The algorithm suggested this after watching real civil engineer latest video ??
21,KhBBLRjVkB4,The Argonaught,"Finally, a glorious throne for my fat ass!"
22,KhBBLRjVkB4,K Dub,Luv the music being played during the video .
23,KhBBLRjVkB4,Jorge Nuri,yall have the blueprint so i can make on myself?
24,KhBBLRjVkB4,Apka Fan,"This is a high quality chair, Frame and tilt mechanism looks so durable"
25,KhBBLRjVkB4,fouad fouad,People asking this is an era galaxy and it costs 2k??
26,KhBBLRjVkB4,Stardust Legacy Fighter,"Technically, these super heavy duty office chairs are for Big + Tall ppl only."
27,KhBBLRjVkB4,Chong Moh,"Can I have to get a Seating part, let me know your e mail address."
28,KhBBLRjVkB4,drinny26,Why can?t they make car seats like this? SMH
29,KhBBLRjVkB4,techmouse1101,"Thomas Jefferson made the swivel chair?? Holy crap, Dave Willis was right! I thought he was just joking all those years ago."
30,KhBBLRjVkB4,MKFPV,3k later....
31,KhBBLRjVkB4,thermoking,"<a href=""https://www.youtube.com/watch?v=KhBBLRjVkB4&amp;t=4m46s"">4:46</a> is my favorite band !"
32,KhBBLRjVkB4,BLD Lightpainting,"Think of how much trouble Darwin could have saved himself, if he would have only read the world&#39;s oldest history book, The Holy Bible."
