Name,Value.videoId,Value.author,text
1,hZg4-AtRVHQ,Swagymicswagger,"<a href=""https://www.youtube.com/watch?v=hZg4-AtRVHQ&amp;t=0m14s"">0:14</a> LOL"
2,hZg4-AtRVHQ,ISK2NDER,We love ANIME!!!
3,hZg4-AtRVHQ,kechupmanofficial,"i dont care if you watch anime, just dont watch caillou"
4,hZg4-AtRVHQ,Ninjakimm,One of rare underated PewDiePie animations .
5,hZg4-AtRVHQ,Joshua RomanCe,&quot;Everything by Jae55555&quot; <br><br>He did pretty well acting out the voices
6,hZg4-AtRVHQ,RAMESH SINGH CHAUTALA,i am a pretty shy guy loll
7,hZg4-AtRVHQ,Dark Crow,Who else is here is 2020 and is like ?????? ??
8,hZg4-AtRVHQ,jayden wilsher,Ain&#39;t wincest a supernatural ship lmao?
9,hZg4-AtRVHQ,toast,<b>sven and deep flashbacks</b>
10,hZg4-AtRVHQ,Emyly's Corner,I thought he was gonna say NI-
11,hZg4-AtRVHQ,Inkaloo,"<a href=""https://www.youtube.com/watch?v=hZg4-AtRVHQ&amp;t=0m11s"">0:11</a> <b>Wheeze Cough</b>"
12,hZg4-AtRVHQ,Rikitiki Baranara,First
13,hZg4-AtRVHQ,Sebu,Don&#39;t Say It...| In Brains FUC* ALL OF YOU I LOVE ANIME
14,hZg4-AtRVHQ,??c Hu?nh,We are pewpiepu(bu?) :v
15,hZg4-AtRVHQ,Dead,Wth?
16,hZg4-AtRVHQ,yon,"<b><a href=""https://www.youtube.com/watch?v=hZg4-AtRVHQ&amp;t=0m22s"">0:22</a></b><b> wHy tHerE iS jîErgen?</b>"
17,hZg4-AtRVHQ,Adam,Wtf???????
18,hZg4-AtRVHQ,no thing,Koniáiva
19,hZg4-AtRVHQ,Dhfhh Gughj,??????
20,hZg4-AtRVHQ,Steven Angelo Collini,dead
21,BhkBifP4aiQ,mia mae,Cant stop watching I LIKE DUCK SALTYYYY
22,BhkBifP4aiQ,Baka no Krow,Thats cool.
23,BhkBifP4aiQ,Harold Daniel,Best fanfiction ever 
24,BhkBifP4aiQ,wildanemone,Am I the only one who found this hilarious and freaky?
25,BhkBifP4aiQ,Sketchy Qubox,I just love the plot twists XD
26,BhkBifP4aiQ,Blake Messina,It&#39;s so much better with Cry reading it exactly as it was apparently written. Animation is 100%
27,BhkBifP4aiQ,Gang_bana,haha So funny Pewds :)
28,BhkBifP4aiQ,Maisyn,"Had a bad day today, this changed my mood instantly, thank you guys! &lt;3"
29,BhkBifP4aiQ,MYLEGOSTUFF,Hilarious! I was laughing my ass off! How come you don&#39;t do much videos with Cry much like you used too? I miss you guys doing games together.
30,BhkBifP4aiQ,Daynger,How is there no comments... I think the world broke
31,BhkBifP4aiQ,Mushy Moo,"no words, just laughter (hope i spelled that right) 030 fistbump pewds o(o-o)<del>o o</del>(030)o"
32,BhkBifP4aiQ,mia mae,Cant stop watching I LIKE DUCK SALTYYYY
33,BhkBifP4aiQ,Baka no Krow,Thats cool.
34,BhkBifP4aiQ,Harold Daniel,Best fanfiction ever 
35,BhkBifP4aiQ,wildanemone,Am I the only one who found this hilarious and freaky?
36,BhkBifP4aiQ,Sketchy Qubox,I just love the plot twists XD
37,BhkBifP4aiQ,Blake Messina,It&#39;s so much better with Cry reading it exactly as it was apparently written. Animation is 100%
38,BhkBifP4aiQ,Gang_bana,haha So funny Pewds :)
39,BhkBifP4aiQ,Maisyn,"Had a bad day today, this changed my mood instantly, thank you guys! &lt;3"
40,BhkBifP4aiQ,MYLEGOSTUFF,Hilarious! I was laughing my ass off! How come you don&#39;t do much videos with Cry much like you used too? I miss you guys doing games together.
41,BhkBifP4aiQ,Daynger,How is there no comments... I think the world broke
42,BhkBifP4aiQ,Mushy Moo,"no words, just laughter (hope i spelled that right) 030 fistbump pewds o(o-o)<del>o o</del>(030)o"
43,YSAFr7by81U,SleepySabi,Rewatching in 2023 ????
44,YSAFr7by81U,Laki2Mempuni,i miss it
45,YSAFr7by81U,M Balazs,"<a href=""https://www.youtube.com/watch?v=YSAFr7by81U&amp;t=21m00s"">21:00</a> the new level of quality gaming"
46,YSAFr7by81U,Leia,"What happened to part 4?  and there is another 1 episode missing, dont remember the number.  missing episodes messes up the whole experience"
47,YSAFr7by81U,Maria K,2022 Still love watching your playthroughs bro
