Name,Value.videoId,Value.author,text
1830,hZg4-AtRVHQ,Swagymicswagger,"<a href=""https://www.youtube.com/watch?v=hZg4-AtRVHQ&amp;t=0m14s"">0:14</a> LOL"
1831,hZg4-AtRVHQ,ISK2NDER,We love ANIME!!!
1832,hZg4-AtRVHQ,kechupmanofficial,"i dont care if you watch anime, just dont watch caillou"
1833,hZg4-AtRVHQ,Ninjakimm,One of rare underated PewDiePie animations .
1834,hZg4-AtRVHQ,Joshua RomanCe,&quot;Everything by Jae55555&quot; <br><br>He did pretty well acting out the voices
1835,hZg4-AtRVHQ,RAMESH SINGH CHAUTALA,i am a pretty shy guy loll
1836,hZg4-AtRVHQ,Dark Crow,Who else is here is 2020 and is like ?????? ??
1837,hZg4-AtRVHQ,jayden wilsher,Ain&#39;t wincest a supernatural ship lmao?
1838,hZg4-AtRVHQ,toast,<b>sven and deep flashbacks</b>
1839,hZg4-AtRVHQ,Emyly's Corner,I thought he was gonna say NI-
1840,hZg4-AtRVHQ,Inkaloo,"<a href=""https://www.youtube.com/watch?v=hZg4-AtRVHQ&amp;t=0m11s"">0:11</a> <b>Wheeze Cough</b>"
1841,hZg4-AtRVHQ,Rikitiki Baranara,First
1842,hZg4-AtRVHQ,Sebu,Don&#39;t Say It...| In Brains FUC* ALL OF YOU I LOVE ANIME
1843,hZg4-AtRVHQ,??c Hu?nh,We are pewpiepu(bu?) :v
1844,hZg4-AtRVHQ,Dead,Wth?
1845,hZg4-AtRVHQ,yon,"<b><a href=""https://www.youtube.com/watch?v=hZg4-AtRVHQ&amp;t=0m22s"">0:22</a></b><b> wHy tHerE iS jîErgen?</b>"
1846,hZg4-AtRVHQ,Adam,Wtf???????
1847,hZg4-AtRVHQ,no thing,Koniáiva
1848,hZg4-AtRVHQ,Dhfhh Gughj,??????
1849,hZg4-AtRVHQ,Steven Angelo Collini,dead
1850,BhkBifP4aiQ,mia mae,Cant stop watching I LIKE DUCK SALTYYYY
1851,BhkBifP4aiQ,Baka no Krow,Thats cool.
1852,BhkBifP4aiQ,Harold Daniel,Best fanfiction ever 
1853,BhkBifP4aiQ,wildanemone,Am I the only one who found this hilarious and freaky?
