Name,Value.videoId,Value.author,text
1110,BhkBifP4aiQ,mia mae,Cant stop watching I LIKE DUCK SALTYYYY
1111,BhkBifP4aiQ,Baka no Krow,Thats cool.
1112,BhkBifP4aiQ,Harold Daniel,Best fanfiction ever 
1113,BhkBifP4aiQ,wildanemone,Am I the only one who found this hilarious and freaky?
1114,BhkBifP4aiQ,Sketchy Qubox,I just love the plot twists XD
1115,BhkBifP4aiQ,Blake Messina,It&#39;s so much better with Cry reading it exactly as it was apparently written. Animation is 100%
1116,BhkBifP4aiQ,Gang_bana,haha So funny Pewds :)
1117,BhkBifP4aiQ,Maisyn,"Had a bad day today, this changed my mood instantly, thank you guys! &lt;3"
1118,BhkBifP4aiQ,MYLEGOSTUFF,Hilarious! I was laughing my ass off! How come you don&#39;t do much videos with Cry much like you used too? I miss you guys doing games together.
1119,BhkBifP4aiQ,Daynger,How is there no comments... I think the world broke
1120,BhkBifP4aiQ,Mushy Moo,"no words, just laughter (hope i spelled that right) 030 fistbump pewds o(o-o)<del>o o</del>(030)o"
1121,W4ZjbmTCP9E,Gasp,Been a while
1122,W4ZjbmTCP9E,Akialia2u,This still makes me cry laugh
1123,W4ZjbmTCP9E,Nejc Ferli?,hi
1124,W4ZjbmTCP9E,Erin Pastorius,6 years later and this is still hilarious to watch??
1125,W4ZjbmTCP9E,Hypnotic Skull,"<a href=""https://www.youtube.com/watch?v=W4ZjbmTCP9E&amp;t=0m00s"">0:00</a> when you don?t know how to talk to girls"
1126,W4ZjbmTCP9E,Simon Nielsen,5
1127,W4ZjbmTCP9E,Willy B,"<a href=""https://www.youtube.com/watch?v=W4ZjbmTCP9E&amp;t=11m08s"">11:08</a>"
1128,W4ZjbmTCP9E,Willy B,"<a href=""https://www.youtube.com/watch?v=W4ZjbmTCP9E&amp;t=11m09s"">11:09</a>"
1129,W4ZjbmTCP9E,Asgard Ninja,I miss old Pewdiepie
1130,W4ZjbmTCP9E,Asgard Ninja,This game is so strange
1131,W4ZjbmTCP9E,Iforgottoburrythebody,Before meme review
1132,W4ZjbmTCP9E,Gaming_Grim_Reaper,He does not use a controller
1133,W4ZjbmTCP9E,Hero-Simp,Dont tell me what to do! ??
1134,W4ZjbmTCP9E,rhonn's vlogs and video,What the hell are you seing
1135,W4ZjbmTCP9E,Dr. Bender,anyone in 2019
1136,W4ZjbmTCP9E,Guppy,I?m watching this in 2019 and oh my I miss this
1137,W4ZjbmTCP9E,Kaitlyn Winslow,"<a href=""https://www.youtube.com/watch?v=W4ZjbmTCP9E&amp;t=11m37s"">11:37</a> that made me laugh lol"
1138,W4ZjbmTCP9E,DROP_DEAD_1989,"Laughed so hard at <a href=""https://www.youtube.com/watch?v=W4ZjbmTCP9E&amp;t=11m36s"">11:36</a> it was so slick he could hardly believe it ????????"
1139,W4ZjbmTCP9E,Madison Perriton,Who is watching in 2018??
1140,W4ZjbmTCP9E,Cheryl Purnell,"<a href=""https://www.youtube.com/watch?v=W4ZjbmTCP9E&amp;t=3m42s"">3:42</a><br><b>DON?T TELL ME WHAT TO DO!</b>"
1141,W4ZjbmTCP9E,Gasp,Been a while
1142,W4ZjbmTCP9E,Akialia2u,This still makes me cry laugh
1143,W4ZjbmTCP9E,Nejc Ferli?,hi
1144,W4ZjbmTCP9E,Erin Pastorius,6 years later and this is still hilarious to watch??
1145,W4ZjbmTCP9E,Hypnotic Skull,"<a href=""https://www.youtube.com/watch?v=W4ZjbmTCP9E&amp;t=0m00s"">0:00</a> when you don?t know how to talk to girls"
1146,W4ZjbmTCP9E,Simon Nielsen,5
